文本,回忆,回忆次数,覆盖率,准确率,遗漏,错字,总字数
"她笑着说：“我又不会荷兰语，来也只能洗盘子。” 我说：“你不用工作，我可以养你！” 她说：“让我考虑考虑。”", "她笑着说我又不会荷兰语，我来也只能洗盘子，我说你不用工作，我来养你，她说我可以考虑考虑。", 2, 1.026, 1.0, "让", "", 38
"我掐指一算，下周开学军训，那么周六应该可以带他逛京城，于是京城会师就这么愉快地决定了。", " 我掐指一算 下周军训那么周六应该可以带他逛京城，于是京城会师就这么愉快地决定了", 1, 0.949, 1.0, "开 学", "", 39
"不发火吧，周围的员工都在偷偷打量我们这边呢；发火吧，也不行，小姑娘回家得怪我在那么多人面前凶她了。", " 不发火吧，周围那么多同事都在偷偷打量我们了 发火吧，小姑娘回去又要指责我在别人面前凶她了", 1, 0.75, 0.805, "的 员 工 这 边 呢 也 行 家 得 怪", "同 事 去 又 要 指 责 别", 44
"不发火吧，周围的员工都在偷偷打量我们这边呢；发火吧，也不行，小姑娘回家得怪我在那么多人面前凶她了。", "不发火吧 周围的员工都在偷偷打量我们这边了 发火吧也不行，小姑娘回家就得指责我在那么多人面前凶她了。", 2, 0.977, 0.935, "呢 怪", "就 指 责", 44
"他说：“你发现没有，你对所有人都很好很体贴，对自己爱的人反而没那么好，甚至很坏？”", "发现没有你对所有人头发都很好很体贴 对自己爱的人却很坏", 1, 0.706, 0.923, "他 说 反 而 那 么 甚 至", "头 却", 34
"他着急地用中英德三语混杂地跟我解释，说自己和那个姑娘真没什么关系，只不过是个好朋友，来送送他而已。", "他着急地用中英德三语跟我解释说他跟那个姑娘没什么关系，只是好朋友 来送送她而已。", 1, 0.8, 0.973, "混 杂 自 己 和 真 不 过", "她", 45
"他着急地用中英德三语混杂地跟我解释，说自己和那个姑娘真没什么关系，只不过是个好朋友，来送送他而已。", " 他着急着用中英德胜语向他解释，他说他是自己的好朋友，跟他就没什么关系只不过是送送他而已。", 2, 0.822, 0.902, "地 三 混 杂 地 我 和 那 个 姑 娘 真 个 来", "胜 向 的 就", 45
"他着急地用中英德三语混杂地跟我解释，说自己和那个姑娘真没什么关系，只不过是个好朋友，来送送他而已。", " 他着急的用中英德三语向我解释说自己和那个姑娘真没什么关系，只不过是个好朋友来送送他而已", 3, 0.889, 0.952, "地 混 杂 地 跟", "的 向", 45
"我们发动了身边所有能发动的人，一起寻找，并利用网络平台，最后终于找到了二十二对分手情侣。 本书选取了其中十五对的故事。", " 我们发动周围人身边的力量一起寻找最终找到了22对分手的情侣 本书截取了其中15位的分手故事。", 1, 0.642, 0.85, "所 有 能 并 利 用 网 络 平 台 后 于 二 十 二 选 十 五", "周 围 力 量 截 位", 53
"我们发动了身边所有能发动的人，一起寻找，并利用网络平台，最后终于找到了二十二对分手情侣。 本书选取了其中十五对的故事。", " 我们发动了身边所有能发动的人 一起寻找，并利用网络平台，最终找到了二十二对分手的情侣本书选取了其中十五位的故事。", 2, 0.962, 0.981, "后 于", "位", 53
"后来，在我的积极攻势下，乐乐终于答应做我的女朋友了，我开心得到处跟哥们儿炫耀：你们看，我的中国女朋友多漂亮！", "后来在我的积极攻势下，乐乐终于同意做我的女朋友了，我开心地向周围的同事炫耀，你看我的中国女朋友多漂亮。", 1, 0.812, 0.83, "答 应 得 到 处 跟 哥 们 儿 们", "同 意 地 向 周 围 同 事", 48
"后来，在我的积极攻势下，乐乐终于答应做我的女朋友了，我开心得到处跟哥们儿炫耀：你们看，我的中国女朋友多漂亮！", "后来在我的积极攻势下，乐乐终于答应做我的女朋友了，我开心的到处向哥们儿炫耀，你们看我的中国女朋友多漂亮。", 2, 0.979, 0.979, "得 跟", "向", 48
"第二天起来，我终于还是没忍住，坐起身来扯了扯被角后，问道：“你…… 那个，你都多久见一次老婆孩子的？”", " 第二天起床后 终于我没有忍住 扯了扯被角问那个，你都多久见一次老婆孩子的。", 1, 0.775, 0.939, "来 还 是 坐 身 来 道", "床 有", 40
"就像电影里说的，饮食男女，人之大欲，要不去想，很难。 所以，感同身受与保持中立之间的那条线，微妙得很。", " 就像电影里说的饮食男女 人之大欲，要不去想，很难; 感同身受与保持中立之间的那条线微妙得很", 1, 0.952, 1.0, "所 以", "", 42
"可越是决定不再多想，想得越多，我越来越觉得嫁给一个自己不爱的男人，那样过一辈子，实在太可怕了。", " 可是越不去想就想得越多，我觉得嫁给一个自己不爱的男人，然后度过一辈子，真是太可怕了", 1, 0.762, 0.842, "决 定 再 来 那 样 实 在", "去 就 然 后 度 真", 42
"可越是决定不再多想，想得越多，我越来越觉得嫁给一个自己不爱的男人，那样过一辈子，实在太可怕了。", " 可越是决定不去想就想得越多，我后来觉得嫁给一个自己不爱的男人，然后过一辈子，实在是太可怕了。", 2, 0.881, 0.881, "再 那 样", "去 就 后 然 后", 42
"可越是决定不再多想，想得越多，我越来越觉得嫁给一个自己不爱的男人，那样过一辈子，实在太可怕了。", " 可越是不去想就想得越多，我越来越觉得嫁给一个自己不爱的男人那样过一辈子，实在是太可怕了。", 3, 0.929, 0.951, "决 定 再", "去 就", 42
"乐乐告诉我，中国有个著名作家说过：要看一对情侣到底合不合适，一起出去旅游一趟就知道了。", " 乐乐告诉我，中国有个著名作家说过 要看一对情侣合不合适出去旅游一趟就知道了。", 1, 0.897, 1.0, "到 底 起", "", 39
"乐乐告诉我，中国有个著名作家说过：要看一对情侣到底合不合适，一起出去旅游一趟就知道了。", " 乐乐告诉我，中国有个著名作家说过，要看一对情侣到底合不合适 一起出去旅游一趟就知道了", 2, 1.0, 1.0, "", "", 39
"我们是异地恋。 大部分时间都靠网络聊天来沟通。 但由于看不到对方的表情，经常生出一些不必要的误会。", " 我们是异地恋，经常靠网络聊天来沟通，可是如果看不到对方的表情会生出一些不必要的误会。", 1, 0.837, 0.923, "大 部 分 时 间 都 但 由 于", "可 如 果", 43
"我们是异地恋。 大部分时间都靠网络聊天来沟通。 但由于看不到对方的表情，经常生出一些不必要的误会。", " 我们是异地恋大部分时间都依靠网络来沟通，但如果看不到对方的表情，就可能会生出一些不必要的误会。", 2, 0.884, 0.864, "聊 天 由 于 经 常", "依 如 果 就 可 能", 43
"我们是异地恋。 大部分时间都靠网络聊天来沟通。 但由于看不到对方的表情，经常生出一些不必要的误会。", " 我们是异地恋大部分 时间依赖网络聊天来沟通，由于看不到对方的表情，经常会伸出一些不必要的误会。", 3, 0.93, 0.93, "都 靠 但 生", "依 赖 伸", 43
"道理我都知道，可是，师妹一看就是出身富裕家庭的姑娘，身上穿的衣服属于一看就知道是名牌的质地。", " 道理我都知道，可是师妹一看就是出生于富裕，家庭身上的衣服，我一看就是名牌的质地", 1, 0.833, 0.972, "姑 娘 穿 属", "生", 42
"道理我都知道，可是，师妹一看就是出身富裕家庭的姑娘，身上穿的衣服属于一看就知道是名牌的质地。", " 道理我都知道，可是师妹出生于富人家庭的姑娘 身上的衣服属于一看就知道是名牌的质地。", 2, 0.857, 0.947, "裕 穿", "生 人", 42
"第二天因为要搬家，家里一堆事情。 收拾房间的时候，发现了一些以前的东西，突然觉得很温暖，特别想让她看看，跟她分享一下。", "第二天因为要搬家家里一堆事情，在收拾东西的时候，发现了以前的东西突然感觉很温暖，特别想让他看看跟他分享。", 1, 0.863, 0.917, "房 间 些 得 她 她 下", "在 感 他 他", 51
"我觉得吧，两个人相处，无论是朋友还是恋人，只要我跟你在一起的时候，能觉得开心，这就是对我最大的恩惠了。", " 我觉得吧，两个人相处，不管是朋友还是恋人，我觉得开心就是对我的最大恩惠了。", 1, 0.689, 0.939, "无 论 只 要 跟 你 在 一 起 时 候 能 这", "不 管", 45
"我觉得吧，两个人相处，无论是朋友还是恋人，只要我跟你在一起的时候，能觉得开心，这就是对我最大的恩惠了。", " 我觉得吧，两个人相处，无论是朋友还是恋人，只要我跟你在一起的时候能觉得开心就是对我最大的恩惠了。", 2, 0.978, 1.0, "这", "", 45
"第一年自然辛苦，一加起班来就没个准点儿，她搬过来和我住一块儿后，常常抱怨我没时间陪她。", " 第一年，当然辛苦，一加起班来，没个准点儿，她搬来和我一起住后 常常抱怨我没时间陪他。", 1, 0.872, 0.944, "自 就 过 块", "当 他", 39
"那天我在一位学姐的怂恿下，第一次去了酒吧。 当时的我，对酒吧的认知尚处于“坏女孩和花花公子去的地方，喝多了就互相乱搞”的阶段。", " 那一天我在一位学姐的怂恿下，第一次去了酒吧，那天我对酒吧的认知尚处于是坏女孩和花花公子喝酒之后乱搞的地方的阶段。", 1, 0.909, 0.943, "当 时 多 就 互 相", "是 之 后", 55
"那天我在一位学姐的怂恿下，第一次去了酒吧。 当时的我，对酒吧的认知尚处于“坏女孩和花花公子去的地方，喝多了就互相乱搞”的阶段。", "那天我在一位学姐的怂恿下，第一次去了酒吧，那时我对酒吧的认知尚处于坏女孩和花花公子去的地方喝多了就乱搞的阶段。", 2, 0.945, 1.0, "当 互 相", "", 55
"也许你跟她聊完，这个困扰我多年的问题，才有答案吧。 ■ 她说： 我想，大概这个世上从哥们儿变成情人的，故事应该都很俗套吧。", " 我想也许你跟他聊完这个故事才会有答案吧，他说这个世上从哥们变成情人的故事，都应该很俗套吧。", 1, 0.78, 0.929, "她 困 扰 多 年 问 题 她 大 概 儿", "他 会 他", 50
"也许你跟她聊完，这个困扰我多年的问题，才有答案吧。 ■ 她说： 我想，大概这个世上从哥们儿变成情人的，故事应该都很俗套吧。", " 也许你跟他聊完这个困扰我多年的问题才会有答案吧，她说，我想大概这个世界上从哥们儿变成情人的故事都应该很俗套吧。", 2, 0.98, 0.942, "", "他 会 界", 50
"我俩都是湖南人，他父亲在某电视台工作，母亲经营一家服装店。 我们还谈到了对恋爱与婚姻的看法，我俩都认为“不以结婚为目的的恋爱都是耍流氓”。", " 我俩都是湖南人，他爸爸在某电视台工作，她妈妈经营一家服装店，我俩还分享了对爱情与婚姻的看法，我俩都认为不以结婚为目的的恋爱就是耍流氓。", 1, 0.869, 0.855, "父 亲 母 亲 们 谈 到", "爸 爸 她 妈 妈 分 享 情 就", 61
"你要是问他这个问题，他只会傻呵呵地笑着，你说好，他也说好，你说不好，他也说不好，在一生的黄金时代里，我们没有欣赏到别的东西，只看了八个戏。", "你要是问他这个问题他只会傻呵呵的笑着 你说好，他也说好，你说不好他也说不好 在一生的黄金时代里面，我们没有看到别的 只看了八出戏。", 1, 0.933, 0.966, "地 欣 赏 东 西", "面 出", 60
"你要是问他这个问题，他只会傻呵呵地笑着，你说好，他也说好，你说不好，他也说不好，在一生的黄金时代里，我们没有欣赏到别的东西，只看了八个戏。", "你要是问他这个问题，他只会傻呵呵地笑着你说好，他也说好，你说不好他也说不好在一生的黄金时代里，我们没有欣赏到别的东西只看了八个戏。", 2, 1.0, 1.0, "", "", 60
"我已经说过，那楼的楼道不大干净，但已比这片平房强了数百倍。 说起来，外地人到京打工，算是我们的客人。 让客人住这种地方，真是件不体面的事。", " 我以说过那栋楼的楼道不干净，但跟这片平房比起来已经强过数百倍 外地人到北京来打工是客人 让客人住这种地方真是不体面", 1, 0.847, 0.926, "大 了 算 们 件 事", "以 栋 跟 北", 59
"我已经说过，那楼的楼道不大干净，但已比这片平房强了数百倍。 说起来，外地人到京打工，算是我们的客人。 让客人住这种地方，真是件不体面的事。", " 我已经说过那楼的楼道不大干净，但跟这片平房比起来已经强过数百倍 按理说外地人到京打工，算是我们的客人，让客人住这种地方真是件不体面的事情。", 2, 1.017, 0.938, "了", "跟 按 理 情", 59
"临出门时我问小宋：你跑得快，怎么不跑呢？ 他说那个个高的家伙手里拿了一支手枪。 虽然他又补充说，那枪不像是真的，但是大家都认为不该冒险出去。", "临出门时我问小宋说你跑得快你怎么不跑呢，他说那个个高的男人手里拿着一把手枪，虽然他补充说那把枪不像真的，但大家一致认为，不应该冒险跑出去。", 1, 0.934, 0.891, "伙 了 支 又 是 是 都", "男 人 着 把 把 致 应", 61
"临出门时我问小宋：你跑得快，怎么不跑呢？ 他说那个个高的家伙手里拿了一支手枪。 虽然他又补充说，那枪不像是真的，但是大家都认为不该冒险出去。", "临出门时我问小宋你跑得快为什么不跑呢？他说，那个个高的家伙，手里拿了一支手枪，但他又补充说那把枪看起来不像真的，但大家都认为不该冒险跑出去。", 2, 0.967, 0.922, "怎 虽 然 是 是", "什 把 看 起 来", 61
"除此之外，还有个虐待狂二厨，刻薄无比的老板周扒皮，老憋不住想啐他们一口。 我每周只做两晚都度日如年，更何况李老板整天待在他以前拥有的店里。", " 除此之外，还有个虐待狂二厨 刻薄无比的老板周扒皮，我每周只在店里呆两晚都觉得度日如年，更何况李老板整天呆在他曾经拥有的店里", 1, 0.823, 0.895, "憋 不 住 想 啐 们 一 口 做 以 前", "呆 觉 得 呆 曾 经", 62
"除此之外，还有个虐待狂二厨，刻薄无比的老板周扒皮，老憋不住想啐他们一口。 我每周只做两晚都度日如年，更何况李老板整天待在他以前拥有的店里。", "除此以外，还有个虐待狂二厨 刻薄无比的老板周扒皮 老憋不住想啐他们一口 我每周只做两日都度日如年，更何况李老板整天呆在他曾经拥有的店里", 2, 0.952, 0.952, "之 晚 前", "呆 曾 经", 62
"昆德拉说：不懂开心的人不会懂得任何小说艺术。 除了懂得开心，还要懂得更多，才能懂得小说的艺术。 但若连开心都不懂，那就只能把小说读糟蹋了。", "昆德拉说，不懂开心的人读不懂小说的艺术，要读懂小说，当然不止开心，但如果开心都不懂，那只能把小说读糟蹋了", 1, 0.7, 0.894, "会 得 任 何 除 得 还 得 更 多 才 得 若 连 就", "当 然 止 如 果", 60
"昆德拉说：不懂开心的人不会懂得任何小说艺术。 除了懂得开心，还要懂得更多，才能懂得小说的艺术。 但若连开心都不懂，那就只能把小说读糟蹋了。", " 昆德拉说 不懂得开心，就不会懂得任何小说的艺术，除了懂得开心，当然还要懂得更多才能读懂小说的艺术，但如果连开心都不懂，就只能把小说都糟蹋了。", 2, 0.983, 0.937, "人 若 那", "当 然 如 果", 60
"积极向上虽然是为人的准则，也不该时时刻刻挂在嘴上。 我以为自己的本人就是把小说写得尽量好看，而不应在作品里夹杂某些刻意说教。", "积极向上虽然是为人的准则 也不该一直挂在嘴上 我认为我的作品要尽量写好 也不会刻意将说教夹杂在语言中", 1, 0.667, 0.809, "时 时 以 自 己 本 就 把 小 得 看 而 应 里 某 些", "一 直 认 要 会 将 语 言 中", 57
"积极向上虽然是为人的准则，也不该时时刻刻挂在嘴上。 我以为自己的本人就是把小说写得尽量好看，而不应在作品里夹杂某些刻意说教。", " 积极向上虽是为人准则，但不应该时时刻刻挂在嘴上，我认为我的本意是要把作品写得好看，但不会在作品中刻意夹杂某些说教。", 2, 0.825, 0.887, "然 也 以 自 己 就 小 尽 量 而 里", "但 认 要 但 会 中", 57
"这位朋友的百米速度是十一秒几，一般人追不上的。 有一天夜里一点多钟，他跑回家里说遭劫了，劫匪是两个人，一个个高，一个个矮，全是黑孩子。", "这位朋友他的百米速度是十一秒几 一般人追不上的那天夜里他跑回家里说，家里遭劫了，劫匪是两个人一个个高一个个矮，全是黑孩子。", 1, 0.948, 0.982, "有 点 多 钟", "那", 58
"这位朋友的百米速度是十一秒几，一般人追不上的。 有一天夜里一点多钟，他跑回家里说遭劫了，劫匪是两个人，一个个高，一个个矮，全是黑孩子。", " 这位朋友他的百米速度是十一秒几一般人是追不上的有天夜里一点多钟，他跑回家遭劫了，劫匪有两个人，一个是个高，一个个矮全是黑孩子。", 2, 1.0, 1.0, "说", "", 58
"后来一想，这事他准是知道的，所以就没有写。 现在我回到国内，翻开报纸的副刊，总能看到有关明星的新闻：谁和谁拍拖，谁和准分手了等等。", " 后来我一想这事 他准是知道的，所以就没有写进去，后来我回到国内翻开报纸的副刊总能看到有关明星的新闻，谁和谁又拍拖了，谁和谁又分手了，等等。", 1, 1.036, 0.935, "现 在", "进 去 又 又", 56
"但是，一刹那间，心中竟充满了某种幸福感。 是的，为了这一天的到来，我已经奔波了两三年，走过了漫长的道路；现在，终于走上了搏斗的拳击台。", "但是那一刹那心中竟有某种幸福感 是的，为了这一刻的到来，我奔波了三年走过了漫长的道路，现在终于能站在拳击台上搏斗。", 1, 0.842, 0.923, "间 充 满 天 已 经 两", "有 刻 能 站", 57
"但是，一刹那间，心中竟充满了某种幸福感。 是的，为了这一天的到来，我已经奔波了两三年，走过了漫长的道路；现在，终于走上了搏斗的拳击台。", "但是 一刹那间，我心中竟充满了某种幸福感 是的，为了这一天的到来，我已经奔走了两三年，现在 终于站在搏斗的拳击台上。", 2, 0.86, 0.98, "波 过 漫 长 道 路", "站", 57
"但是，一刹那间，心中竟充满了某种幸福感。 是的，为了这一天的到来，我已经奔波了两三年，走过了漫长的道路；现在，终于走上了搏斗的拳击台。", "但是 一刹那间 我心中竟然充满了某种幸福感 是的 为了这一天的到来 我已经奔波了两三年 走过了漫长的道路 现在 终于走到了搏斗的拳击台上", 3, 1.035, 0.983, "", "然", 57
"踏上故乡的土地，就不会感到走投无路。 故乡，多么好，对一个人来说，没有故乡是不可思议的；即是流浪的吉普赛人，也总是把他们的营地视为故乡。", "踏向故乡的土地就不会感到走投无路 故乡对一个人说多么好，没有故乡是不可接受的，即使是流浪的吉卜赛人，也总把他们的营地当成自己的故乡。", 1, 0.881, 0.852, "上 来 思 议 普 视 为", "向 接 受 使 卜 当 成 自 己", 59
"踏上故乡的土地，就不会感到走投无路。 故乡，多么好，对一个人来说，没有故乡是不可思议的；即是流浪的吉普赛人，也总是把他们的营地视为故乡。", " 踏上故乡的土地就不会有走投无路的感觉 故乡多么好，对一个人说没有故乡是不可接受的，即使是流浪的吉卜赛人，也总把他们的营地当成自己的故乡。", 2, 0.915, 0.857, "到 来 思 议 普 视 为", "觉 接 受 使 卜 当 成 自 己", 59
"踏上故乡的土地，就不会感到走投无路。 故乡，多么好，对一个人来说，没有故乡是不可思议的；即是流浪的吉普赛人，也总是把他们的营地视为故乡。", "踏上故乡的土地就不会感到走投无路故乡多么好，对一个人来说没有故乡是不可思议的，即使是流浪的吉普赛人，也总把他们的营地视为自己的故乡", 3, 1.0, 0.952, "", "使 自 己", 59
"在这种情况下，你之所以还能够坚持，是因为你的写作干脆不面对文学界，不面对批评界，而直接面对读者。 只要读者不遗弃你，就证明你能够存在。", " 在这种情况下，你之所以还能够坚持，是因为你的写作不面对文学界不面对批评界，而是直面读者，只要读者还能接受你，那你就能够存在。", 1, 0.915, 0.964, "干 脆 遗 弃 证 明", "受 那", 59
"在这种情况下，你之所以还能够坚持，是因为你的写作干脆不面对文学界，不面对批评界，而直接面对读者。 只要读者不遗弃你，就证明你能够存在。", "在这种情况下，你之所以还能够写下去，是因为你的写作，干脆不面对文学界不面对批评界，而是直面读者 只要读者不遗弃你，就证明你能够存在。", 2, 0.983, 0.983, "坚 持 接", "去", 59
"正是怀着一种对往事祭奠的心情，我才写了上面的一些文字。 无疑，这里所记录的一切和《平凡的世界》一样。 对我来说，都已经成了历史。", " 正是怀着激动的心情，我才写了上面的文字，毫无疑问，这里的文字和平凡的世界一样，对我来说都成了怀念。", 1, 0.722, 0.886, "种 往 事 祭 奠 些 所 记 录 切 已 经 历 史", "激 动 毫 问 念", 54
"正是怀着一种对往事祭奠的心情，我才写了上面的一些文字。 无疑，这里所记录的一切和《平凡的世界》一样。 对我来说，都已经成了历史。", "正是怀着对往事祭奠的心情，我才写了上面一段文字，这里的一切记录和平凡的世界一样，对我来说都已经成了历史。", 2, 0.87, 0.979, "种 些 无 疑 所", "段", 54
"正是怀着一种对往事祭奠的心情，我才写了上面的一些文字。 无疑，这里所记录的一切和《平凡的世界》一样。 对我来说，都已经成了历史。", "正是怀着对往事的一种祭奠，我才写了这一段文字 无疑 这段记录的一切和平凡的世界一样，对我来说都已经成为了历史。", 3, 0.87, 0.94, "心 情 上 面 些 里 所", "段 段 为", 54
"我要用最严肃的态度进行这一天的工作，用自己血汗凝结的乐章，献给远方亲爱的女儿。 46 按照预先的计划，我无论如何要在春节前完成第三部的初稿。", "我要用最严肃的工作态度来创作 用血汗凝结的乐章献给远方的女儿 按照原先的计划，我无论如何要在春节前完成第三部的初稿。", 1, 0.836, 0.944, "进 行 这 一 天 自 己 亲 爱 预", "来 创 原", 61
"我要用最严肃的态度进行这一天的工作，用自己血汗凝结的乐章，献给远方亲爱的女儿。 46 按照预先的计划，我无论如何要在春节前完成第三部的初稿。", " 我要用最严肃的态度来进行这一天的工作用血汗凝结的乐章献给远方亲爱的女儿 按照预先的计划，我必须在春节前完成第三部的初稿", 2, 0.885, 0.947, "自 己 无 论 如 何", "来 必 须", 61
"我说了什么？ 欧阳佟说，你上次提到成活期、稳定期和发展期三段论，对我启发很大，我为此思考了很久。 王禺丹笑着说，说说看，都思考了些什么？", "我说了什么 欧阳彤说 你上次提到存活期稳定期发展期三段论对我启发很大，我为此思考很久 王禹桐 说说说看你都思考了什么。", 1, 0.86, 0.925, "佟 成 和 禺 丹 笑 着 些", "彤 存 禹 桐", 57
"我说了什么？ 欧阳佟说，你上次提到成活期、稳定期和发展期三段论，对我启发很大，我为此思考了很久。 王禺丹笑着说，说说看，都思考了些什么？", "我说了什么欧阳佟说你上次提到存活期稳定期发展期三段论对我启发很大，我对此思考了很久，王禹丹 笑着说说说看你都思考了什么", 2, 0.947, 0.964, "成 和 为 禺 些", "存 禹", 57
"对于怪胎一说，王禺丹并不认同。 在她看来，欧阳佟就是一个典型的德山人，喜欢夸夸其谈，不切实际，眼高手低，整个人活在一张嘴上。", " 对于怪胎一事, 王禺丹感到很不认同 他认为欧阳佟就是一个典型的德山人，喜欢夸夸其谈 眼高手低 不切实际", 1, 0.736, 0.867, "说 并 在 她 看 来 整 活 在 张 嘴 上", "事 感 到 很 他 为", 53
"对于怪胎一说，王禺丹并不认同。 在她看来，欧阳佟就是一个典型的德山人，喜欢夸夸其谈，不切实际，眼高手低，整个人活在一张嘴上。", " 对于怪胎一事，王禺丹感到并不认同。她认为欧阳彤就是一个典型的德山人喜欢夸夸其谈 眼高手低，整个人活在一张嘴上", 2, 0.849, 0.9, "说 看 来 佟 切 实 际", "事 感 到 为 彤", 53
"中国人只会窝里斗，如果真是出于这一点，何必组建几个集团？ 不如全国所有的烟草公司组合在一起，形成一个大集团，那才真正形成国际竞争力。", "中国人只会窝里斗 如果真是这样 何必组建几个集团 直接把所有烟草公司放到一起 形成一个大集团 才真正有国际竞争力", 1, 0.763, 0.882, "出 于 点 不 全 的 合 在 那", "样 直 接 把 放 到", 59
"中国人只会窝里斗，如果真是出于这一点，何必组建几个集团？ 不如全国所有的烟草公司组合在一起，形成一个大集团，那才真正形成国际竞争力。", " 中国人总是窝里斗，如果真是这样，那何必组成几个集团 倒不如把全国所有烟草公司聚集到一起形成一个大集团那才真正有国际竞争力。", 2, 0.864, 0.895, "只 会 出 于 点 建 的 合 在", "总 样 倒 把 聚 到", 59
"拿到这个撤销命令，需要的是行政资源的配合。 而组织一个销售网，则是商业操作。 不过，要整合出一个全省范围内的销售网，那需要多大的成本投入？", " 撤销这个行政命令需要的是行政资源的配合，而建立商业网者需要商业力量，形成整个省的销售网需要多大的成本投入。", 1, 0.733, 0.88, "拿 到 组 织 一 则 操 作 不 过 出 一 全 范 围 内 那", "建 立 者 力 量 形", 60
"拿到这个撤销命令，需要的是行政资源的配合。 而组织一个销售网，则是商业操作。 不过，要整合出一个全省范围内的销售网，那需要多大的成本投入？", " 拿到这个撤销命令，需要的是全省行政资源的配合 而组建销售网，则是商业配合，不过要组建全省的销售网需要投入多大的成本。", 2, 0.85, 0.962, "织 一 操 作 整 出 一 范 围 内 那", "建 建", 60
"拿到这个撤销命令，需要的是行政资源的配合。 而组织一个销售网，则是商业操作。 不过，要整合出一个全省范围内的销售网，那需要多大的成本投入？", " 拿到这个撤销命令，需要的是行政资源的配合，而组织一个销售网 则是商业操作 那么整合一个全省的销售网需要多大的成本投入。", 3, 0.883, 0.981, "不 过 出 范 围 内", "么", 60
"十万块钱已经低得不可想象了，别说支付人员的工资，就是供给那些动物的食物都不够。 欧阳佟问已经付了多少，对方说，付了三万元。", "十万块钱已经低到不可想象的数字了，别说支付工作人员的工资, 就连供给那些动物的食物都不够，欧阳佟问已经付了多少对方说付了三万。", 1, 0.981, 0.914, "得 是 元", "到 数 字 作 连", 54
"几天后，文雨芳过生日。 早在一个月前，文雨芳就曾和欧阳佟开玩笑，给他发短信说，老男人，今天你要请我的客。 欧阳佟说，今天是什么特别的日子？", " 几天后文雨方生日，早在一个月前文雨方就和欧阳佟开个玩笑老男人，今天你要请我的客, 欧阳佟说今天是什么日子。", 1, 0.793, 0.958, "芳 过 芳 曾 给 他 发 短 信 特 别", "方 方", 58
"几天后，文雨芳过生日。 早在一个月前，文雨芳就曾和欧阳佟开玩笑，给他发短信说，老男人，今天你要请我的客。 欧阳佟说，今天是什么特别的日子？", "几天后 文雨芳过生日 早在一个月前 文雨芳就给欧阳佟发短信说 老男人 今天你要请我的客 欧阳佟说 今天是什么特殊的日子", 2, 0.879, 0.981, "曾 和 开 玩 笑 他 别", "殊", 58
"你的和我的，有什么区别？ 我们谁跟谁？ 欧阳佟举起两根手指，对她说，既然我们是朋友，而且彼此心心相印，有两件事，我需要向你通报一下。", "你的跟我的有什么分别我们俩谁跟谁 欧阳佟举起两根手指说，既然我们是朋友 有两件事，我需要跟你通报一下。", 1, 0.8, 0.957, "和 区 对 她 而 且 彼 此 心 心 相 印 向", "分 俩", 55
"你的和我的，有什么区别？ 我们谁跟谁？ 欧阳佟举起两根手指，对她说，既然我们是朋友，而且彼此心心相印，有两件事，我需要向你通报一下。", " 你的和我的有什么分别我们俩谁跟谁欧阳同举起两根手指说，既然我们是朋友，而且彼此心心相印有两件事，我需要跟你通报一下。", 2, 0.927, 0.944, "区 佟 对 她 向", "分 俩 同", 55
"这在1935年后尤为突出。 联邦政府设立的12个教育项目使参加文化课的黑人达100万。 黑人文盲率在30年代下降了10％。", " 在1935年后特别突出 联邦政府设置的12个教育项目，让参加文化课的黑人达到了一百万 黑人的文盲率下降了百分之十。", 1, 0.857, 0.766, "这 尤 为 立 使 代", "特 别 置 让 到 一 百 百 分 之 十", 42
"在演说的最精彩的片段，他抨击了那些企图分裂美国的人： “今晚，我将告诉他们，美国人没有所谓自由和保守之分，世间只存在一个美利坚合众国。", "在演出的最精彩部分，他抨击了那些试图分裂美国的人。他说，今晚我就告诉他们，美国没有所谓的自由与保守之分世间，只有一个美利坚合众国。", 1, 0.915, 0.915, "片 段 企 将 和 存", "出 部 试 就 与", 59
"在演说的最精彩的片段，他抨击了那些企图分裂美国的人： “今晚，我将告诉他们，美国人没有所谓自由和保守之分，世间只存在一个美利坚合众国。", " 在演出的最精彩部分，他抨击了那些企图分裂美国的人。他说，今晚我就告诉他们，美国没有所谓的自由和保守之分世间，只有一个 美利坚合众国", 2, 0.949, 0.949, "片 段 将 存", "出 部 就", 59
"美国劳工部所作的研究表明，黑人移民的首要动机是改善自身的经济状况，而政治和社会的因素则在其次。 劳工部对促使南部黑人北迁的原因作了如下表述：", " 劳工部的研究表明，黑人迁移的主要因素是经济因素，而社会和政治因素在其次，因此对促使南部黑人北迁劳工部作出以下表述。", 1, 0.754, 0.925, "美 国 所 民 首 动 机 改 善 自 身 状 况 则 原 了 如", "主 此 出 以", 65
"美国劳工部所作的研究表明，黑人移民的首要动机是改善自身的经济状况，而政治和社会的因素则在其次。 劳工部对促使南部黑人北迁的原因作了如下表述：", " 美国劳工部的研究表明，黑人移民的主要动机是经济因素，而政治因素和社会因素是其次 劳工部对促使南部黑人北迁的原因作出以下表述。", 2, 0.846, 0.948, "所 首 改 善 自 身 状 况 则 在 了 如", "主 出 以", 65
